id,created_at,partner_id,city_id,year,number_diapers,number_children,percentage,month,changed
12617,2026-04-12 16:09:23.738529+00,12,24,2025,449,,0.31,January,false
12618,2026-04-12 16:09:23.738529+00,12,37,2025,391,,0.27,January,false
12619,2026-04-12 16:09:23.738529+00,12,36,2025,72,,0.05,January,false
12620,2026-04-12 16:09:23.738529+00,12,18,2025,72,,0.05,January,false
12621,2026-04-12 16:09:23.738529+00,12,35,2025,130,,0.09,January,false
12622,2026-04-12 16:09:23.738529+00,12,19,2025,130,,0.09,January,false
12623,2026-04-12 16:09:23.738529+00,12,14,2025,203,,0.14,January,false
12624,2026-04-12 16:09:23.738529+00,12,24,2025,346,,0.31,February,false
12625,2026-04-12 16:09:23.738529+00,12,37,2025,301,,0.27,February,false
12626,2026-04-12 16:09:23.738529+00,12,36,2025,56,,0.05,February,false
12627,2026-04-12 16:09:23.738529+00,12,18,2025,56,,0.05,February,false
12628,2026-04-12 16:09:23.738529+00,12,35,2025,100,,0.09,February,false
12629,2026-04-12 16:09:23.738529+00,12,19,2025,100,,0.09,February,false
12630,2026-04-12 16:09:23.738529+00,12,14,2025,156,,0.14,February,false
12631,2026-04-12 16:09:23.738529+00,12,24,2025,605,,0.31,March,false
12632,2026-04-12 16:09:23.738529+00,12,37,2025,527,,0.27,March,false
12633,2026-04-12 16:09:23.738529+00,12,36,2025,98,,0.05,March,false
12634,2026-04-12 16:09:23.738529+00,12,18,2025,98,,0.05,March,false
12635,2026-04-12 16:09:23.738529+00,12,35,2025,176,,0.09,March,false
12636,2026-04-12 16:09:23.738529+00,12,19,2025,176,,0.09,March,false
12637,2026-04-12 16:09:23.738529+00,12,14,2025,273,,0.14,March,false
12638,2026-04-12 16:09:23.738529+00,12,24,2025,393,,0.31,April,false
12639,2026-04-12 16:09:23.738529+00,12,37,2025,343,,0.27,April,false
12640,2026-04-12 16:09:23.738529+00,12,36,2025,63,,0.05,April,false
12641,2026-04-12 16:09:23.738529+00,12,18,2025,63,,0.05,April,false
12642,2026-04-12 16:09:23.738529+00,12,35,2025,114,,0.09,April,false
12643,2026-04-12 16:09:23.738529+00,12,19,2025,114,,0.09,April,false
12644,2026-04-12 16:09:23.738529+00,12,14,2025,178,,0.14,April,false
12645,2026-04-12 16:09:23.738529+00,12,24,2025,535,,0.31,May,false
12646,2026-04-12 16:09:23.738529+00,12,37,2025,466,,0.27,May,false
12647,2026-04-12 16:09:23.738529+00,12,36,2025,86,,0.05,May,false
12648,2026-04-12 16:09:23.738529+00,12,18,2025,86,,0.05,May,false
12649,2026-04-12 16:09:23.738529+00,12,35,2025,155,,0.09,May,false
12650,2026-04-12 16:09:23.738529+00,12,19,2025,155,,0.09,May,false
12651,2026-04-12 16:09:23.738529+00,12,14,2025,242,,0.14,May,false
12652,2026-04-12 16:09:23.738529+00,12,24,2025,485,,0.31,June,false
12653,2026-04-12 16:09:23.738529+00,12,37,2025,422,,0.27,June,false
12654,2026-04-12 16:09:23.738529+00,12,36,2025,78,,0.05,June,false
12655,2026-04-12 16:09:23.738529+00,12,18,2025,78,,0.05,June,false
12656,2026-04-12 16:09:23.738529+00,12,35,2025,141,,0.09,June,false
12657,2026-04-12 16:09:23.738529+00,12,19,2025,141,,0.09,June,false
12658,2026-04-12 16:09:23.738529+00,12,14,2025,219,,0.14,June,false
12659,2026-04-12 16:09:23.738529+00,12,24,2025,1144,,0.31,August,false
12660,2026-04-12 16:09:23.738529+00,12,37,2025,997,,0.27,August,false
12661,2026-04-12 16:09:23.738529+00,12,36,2025,185,,0.05,August,false
12662,2026-04-12 16:09:23.738529+00,12,18,2025,185,,0.05,August,false
12663,2026-04-12 16:09:23.738529+00,12,35,2025,332,,0.09,August,false
12664,2026-04-12 16:09:23.738529+00,12,19,2025,332,,0.09,August,false
12665,2026-04-12 16:09:23.738529+00,12,14,2025,517,,0.14,August,false
12666,2026-04-12 16:09:23.738529+00,12,24,2025,271,,0.31,September,false
12667,2026-04-12 16:09:23.738529+00,12,37,2025,236,,0.27,September,false
12668,2026-04-12 16:09:23.738529+00,12,36,2025,44,,0.05,September,false
12669,2026-04-12 16:09:23.738529+00,12,18,2025,44,,0.05,September,false
12670,2026-04-12 16:09:23.738529+00,12,35,2025,79,,0.09,September,false
12671,2026-04-12 16:09:23.738529+00,12,19,2025,79,,0.09,September,false
12672,2026-04-12 16:09:23.738529+00,12,14,2025,123,,0.14,September,false
12673,2026-04-12 16:09:23.738529+00,12,24,2025,497,,0.31,October,false
12674,2026-04-12 16:09:23.738529+00,12,37,2025,433,,0.27,October,false
