partner_id,year,month,num_diapers,num_babies,id
7,2025,July,2808,,002f8734-fee7-4d00-a183-e5f0755714e1
9,2025,October,1073,,013a7551-31e7-41ed-bfef-640e7760ad34
1,2026,February,7310,,0188e670-3d4d-49f7-840d-bf670f735084
8,2025,April,3899,,025305b8-adc3-4e90-b301-e1dd642be611
4,2025,April,5120,,0426f28f-a061-403b-8d9d-5db2217497d8
10,2025,August,1508,,08e67564-bf51-48d8-8499-d715a72a5f8e
7,2025,September,4269,,09606e9c-f2c5-4284-85e7-0c269f86d92f
12,2025,January,1448,,0a8a2d19-d29f-48d2-b8e9-e147021ead39
4,2025,March,2720,,0d142dc7-0a5b-4bb9-b11d-850c3df349f5
6,2025,June,7066,,1229914c-b2c7-43fa-bcb1-7d9ef962303b
6,2025,October,1600,,134721f1-c1ce-46f8-b967-353132ddc731
3,2025,January,3514,,1481959b-89f3-4ca3-bd13-5de88be92965
3,2026,January,4043,,15916f4e-d853-4acd-907b-212c4c6b80ab
10,2025,December,2016,,1678b7e5-82d3-415c-829e-eb50e2fa52da
11,2025,June,1500,,170e47b7-4ea1-40b2-b30a-b1e9772e7999
10,2026,January,1886,,178dcd38-9ebe-4674-ac47-e667aacde7f0
7,2025,August,4038,,18bff2a7-43f3-490a-80ff-375f4f9a7238
2,2025,April,6000,,190c4d60-9953-473b-a235-06f818b51480
1,2025,August,6834,,1911c6a8-76f9-4009-9b6c-9d0db355a2a2
6,2025,January,1000,,1988d6f0-f5c3-4797-a539-88bee3f961a2
12,2026,March,1083,,19e1a3ac-a398-4c22-a8ba-2dc73e5feace
12,2025,December,818,,1aa16039-c852-4548-8570-7cbf30ea1594
1,2025,July,4637,,1b419d89-d7fa-47e2-b62d-fd30849c4af1
13,2025,October,810,,1d4a31d6-480a-48f1-8537-b08e053f036d
4,2026,February,4133,,21412930-93d2-42f8-82c1-c5a4b88e7717
9,2025,November,764,,25d619ce-afb5-4baf-996f-fc5d52636786
6,2025,December,4404,,25e3e09a-3902-4df3-9842-69c27da90648
7,2025,April,3222,,2b73c434-0705-4a1f-8d1e-7e1db0b80817
4,2025,June,2238,,2ba21dd0-9db3-4ca8-b73f-59a27af08df7
3,2025,April,3249,,2c07afb6-5345-4e81-9ca5-3cae71daefe0
3,2025,March,3046,,2d2f3ff3-8c12-4ad3-9ab5-27df46c84130
5,2025,July,2213,,33ae554a-c6c7-4064-a4a2-86aca02b96bf
3,2025,November,5651,,35611ad2-eb9f-4b23-bde8-c4f2b6f87b2e
1,2025,December,6696,,35c9f46c-5198-4e21-829f-7b0415f27749
10,2025,October,1497,,3960eafb-39a2-453d-82bd-a5dc15439caa
4,2026,March,3994,,39d5f965-b1fc-4b30-a71e-d9f982900b0f
3,2026,March,6944,,3b119f4f-6abc-41a5-ac46-4cb394ef0475
2,2026,January,6322,,3e918082-dabd-4b5d-aa15-bd54a2e9e4f2
3,2025,February,5356,,3efd3815-631a-4bc0-904d-a9916e8cc8e1
12,2025,April,1269,,3f8ee572-0b52-4f4b-9fb1-25dfe7d43570
1,2025,September,7447,,47096c75-0f06-455b-8477-244b688fe7f1
9,2025,January,200,,4aec656a-dfc2-4809-acb2-ba20e6b210c1
5,2026,January,4494,,4deb1f2d-1a72-4e29-a550-83b3447f9566
4,2025,November,3780,,4f0ceb35-929b-4904-a919-f370fe15384e
3,2025,July,800,,5003b99a-6309-4dd1-8efd-0952d9db842b
4,2025,May,2687,,50c4a13d-6b01-4f77-84fe-2a1dbff24969
6,2025,November,11098,,511109c1-119d-4054-9c91-9f505ccdf10a
5,2025,October,3826,,51246d4b-1300-48cf-844c-ad6bd36f1832
7,2025,June,3145,,5156b93a-cbb9-4286-a359-a17ae79cad0f
1,2026,January,7599,,567ed569-f014-4a05-803a-c286df86af64
8,2025,November,2266,,58232125-a691-4d41-b62a-33533a626ad2
8,2025,July,2616,,5ee8ef75-08f7-4c82-b250-497adb12911f
6,2025,May,4503,,602c03f8-f199-43e4-aeb1-7f598b492482
2,2025,February,4300,,619c5404-568e-4b74-8c01-7c6dbf0dd81a
11,2025,August,1395,,64844984-78ff-4bb4-8b5d-847badb763cc
6,2025,February,6433,,6535cc5b-4f16-4916-abad-84dc9a2f205b
6,2025,March,6379,,654c1637-92ce-4a26-84bc-6acb243687c0
11,2025,July,1084,,6867c1d9-be00-4cb4-8435-8c35c0f52d9e
5,2025,May,1729,,69472258-a335-4add-8d14-43932a33c092
4,2025,July,2871,,6daf9be6-9a16-4489-b6be-4eb9b5a30c25
7,2026,February,3251,,704114b4-2d06-4791-b7d7-8a5d8bfc5e6b
6,2025,July,4436,,72f8fc96-bbd6-45a1-9b2e-119282e15e16
2,2025,November,7809,,7404808b-e00b-4b16-903b-8677fb00e7e7
1,2025,March,5524,,74392b4b-b7a0-4868-bd38-73ec1db478de
7,2025,February,3966,,756fc119-c970-4a7f-b0cb-801269ede2ae
5,2025,June,1679,,76451390-2be8-464f-833b-b0279df9bfdc
8,2026,January,1476,,768c94a7-7bc7-4a52-95f3-ff2f996c8c50
7,2025,March,4358,,76b5ed1f-70d9-4f95-9959-c0adc8bf146d
6,2025,September,4407,,77a08e2a-40ff-4647-a83b-947bc7e160dd
9,2025,June,799,,78041ee3-5080-41f0-ac11-a4f55f827ae9
12,2025,November,1081,,7810f09e-6e4a-4cde-b106-104475a5792b
7,2026,March,3900,,790c5af5-24ec-4db4-ab9f-4a9613dc74a8
4,2025,September,3388,,7ad4049e-eb98-410b-9584-18969d03a4ba
9,2025,December,1930,,7c1e4b6a-17e7-4261-8825-924026ccfd06
12,2025,September,875,,7d123961-1fc9-4e99-a576-ec9f3962a154
3,2025,August,5765,,7ed0e7e5-d726-43b7-8ef2-2869391031d8
12,2025,February,1116,,80729c52-955d-46e1-9598-eb2bf3fd82dd
4,2025,October,2917,,81150942-48e5-41c5-a974-04ef948c80b2
5,2025,November,4016,,822d2017-f054-40ab-ab74-49852b461611
5,2025,August,2896,,84e3df9e-88e4-42a9-b1d6-256ea5691c18
7,2025,January,3361,,8556fdee-ee0f-4ef8-aa73-df61e183c563
1,2025,June,5207,,8647e2d8-3153-4a03-99dd-045670edb082
1,2025,October,7198,,89eb7c95-a124-40e8-9c9a-fc212583aae3
7,2025,May,3336,,8da6b8a1-22ba-455d-9dcb-15b802d29de6
