id,name,centroid
1,Boston,"{""type"": ""Point"", ""coordinates"": [-71.060511, 42.3554334]}"
2,Somerville,"{""type"": ""Point"", ""coordinates"": [-71.0994968, 42.3875968]}"
3,Cambridge,"{""type"": ""Point"", ""coordinates"": [-71.1040018, 42.3656347]}"
4,Lexington,"{""type"": ""Point"", ""coordinates"": [-71.2245003, 42.4473175]}"
5,Quincy,"{""type"": ""Point"", ""coordinates"": [-71.0037374, 42.2509914]}"
6,Medford,"{""type"": ""Point"", ""coordinates"": [-71.1061639, 42.4184296]}"
7,Brookline,"{""type"": ""Point"", ""coordinates"": [-71.1187829, 42.332918]}"
8,Everett,"{""type"": ""Point"", ""coordinates"": [-71.0542002, 42.4085897]}"
9,Chelsea,"{""type"": ""Point"", ""coordinates"": [-71.0369301, 42.3912241]}"
10,Malden,"{""type"": ""Point"", ""coordinates"": [-71.0683741, 42.4268484]}"
11,Newton,"{""type"": ""Point"", ""coordinates"": [-71.2092214, 42.3370414]}"
12,Watertown,"{""type"": ""Point"", ""coordinates"": [-71.1843234, 42.3652576]}"
13,Waltham,"{""type"": ""Point"", ""coordinates"": [-71.2355644, 42.3762385]}"
14,Arlington,"{""type"": ""Point"", ""coordinates"": [-71.1564428, 42.4153739]}"
15,Revere,"{""type"": ""Point"", ""coordinates"": [-71.0119948, 42.4084302]}"
16,Belmont,"{""type"": ""Point"", ""coordinates"": [-71.1786655, 42.3959296]}"
17,Melrose,"{""type"": ""Point"", ""coordinates"": [-71.064182, 42.4564323]}"
18,Woburn,"{""type"": ""Point"", ""coordinates"": [-71.1522766, 42.4792618]}"
19,Winthrop,"{""type"": ""Point"", ""coordinates"": [-70.9825807, 42.3746525]}"
20,Needham,"{""type"": ""Point"", ""coordinates"": [-71.2360624, 42.2802645]}"
21,Winchester,"{""type"": ""Point"", ""coordinates"": [-71.2360624, 42.2802645]}"
22,Milton,"{""type"": ""Point"", ""coordinates"": [-71.2360624, 42.2802645]}"
