partner_id,city_id,percentage
1,14,1
2,13,1
3,4,0.01
3,11,0.25
3,13,0.7
3,14,0.01
3,18,0.01
3,24,0.01
3,25,0
3,26,0.01
4,4,0.99
4,18,0.01
5,1,0.23
5,2,0.05
5,3,0.55
5,5,0.02
5,10,0.03
5,15,0.02
5,27,0.03
5,28,0.01
5,29,0.02
5,30,0.02
5,31,0.02
6,13,0.95
6,27,0.03
6,30,0.02
7,24,1
8,2,1
9,13,1
10,6,0.23
10,8,0.05
10,10,0.14
10,15,0.05
10,17,0.22
10,18,0.04
10,19,0.02
10,21,0.05
10,32,0.05
10,33,0.07
10,34,0.03
10,35,0.05
11,3,0.15
11,11,0.05
11,12,0.45
11,13,0.15
11,14,0.04
11,16,0.1
11,20,0.01
11,28,0.02
11,29,0.03
12,14,0.14
12,18,0.05
12,24,0.31
12,35,0.09
12,36,0.05
12,37,0.27
12,38,0.09
13,18,0.8
13,21,0.2
14,2,
15,1,
16,1,
17,1,
18,39,
19,2,
20,1,
21,1,
22,40,
23,15,
24,13,
25,13,
26,41,
27,42,
28,43,
29,1,
30,44,
31,43,
32,42,
33,45,
34,24,
35,1,
36,43,
37,46,
38,27,
39,27,
40,47,
41,27,
42,48,
43,49,
44,11,
45,3,
46,42,
47,50,
48,6,
49,1,
50,1,
51,51,
52,24,
53,52,
54,10,
55,1,
56,53,
57,54,
58,27,
59,9,
60,27,
61,1,
62,42,
63,55,
