id,created_at,name,description,start_partner,address,coords,logo_url,end_partner,status,num_babies
1,2026-03-04 14:44:46.849+00,Arlington EATS,"Arlington EATS is a community-focused nonprofit working to eliminate food insecurity for Arlington residents. The organization provides consistent access to nutritious food through weekly markets, home deliveries, and school-based programs. Families with young children benefit from wraparound support, including essentials such as diapers and hygiene products. Arlington EATS partners closely with community groups to strengthen local food distribution networks. Their mission emphasizes dignity, choice, and equitable access for every household they serve.",2024-11-06,,"{""lat"":42.4148,""lng"":-71.1562}",https://www.arlingtoneats.org/wp-content/themes/eats2019/images/Eats-logo.svg,,active,110
2,2026-03-04 14:44:46.849+00,Diaper Depot,"Diaper Depot is a local resource dedicated specifically to addressing diaper need for families struggling to afford essential infant supplies. The organization distributes diapers, wipes, and related care items through coordinated community events and partnerships with social-service agencies. Their work helps alleviate financial stress for caregivers, allowing families to redirect limited income toward other critical needs such as food and housing. Diaper Depot emphasizes reliability, compassion, and accessibility in their service model. By partnering with groups like the Beantown Baby Diaper Bank, they expand their reach to more vulnerable families.",2013-01-01,,"{""lat"":42.2493,""lng"":-71.0157}",https://sbnh.org/wp-content/uploads/2017/06/SB_logo_ret.png,,active,130
3,2026-03-04 14:44:46.849+00,Family ACCESS,"Family ACCESS supports children and families by providing early childhood education, family support services, and community resources. The organization offers programs that strengthen early development, promote school readiness, and empower caregivers with practical tools. Many families they serve face economic hardship, and Family ACCESS helps meet basic needs by distributing essentials such as diapers. Their holistic approach promotes both emotional well-being and economic stability for families. Through collaborative partnerships, Family ACCESS reaches households across multiple communities.",2021-01-01,,"{""lat"":42.3295,""lng"":-71.1972}",https://familyaccess.org/wp-content/uploads/2022/05/family-access-logo.png,,active,77
4,2026-03-04 14:44:46.849+00,Lexington Food Pantry,"The Lexington Food Pantry provides critical food assistance to residents experiencing financial hardship. Operating through a volunteer-driven model, the pantry distributes fresh produce, shelf-stable goods, and personal-care essentials�including diapers�to eligible families. The organization focuses on creating a respectful, welcoming environment for all clients. By leveraging donations from individuals, faith communities, and local businesses, they maintain dependable weekly services. Their long-standing presence in Lexington makes them a trusted support system for families in need.",2023-01-01,,"{""lat"":42.4478,""lng"":-71.2304}",https://www.lexingtonfoodpantry.org/uploads/1/3/0/7/130768761/food-pantry-logo.png,,active,60
5,2026-03-04 14:44:46.849+00,Margaret Fuller Neighborhood House,"The Margaret Fuller Neighborhood House offers a wide range of community services, including a food pantry, youth programming, and family support initiatives. Located in Cambridge, the organization serves diverse residents facing financial, social, or housing challenges. Their pantry supplies food, diapers, and other vital necessities to families seeking stability. With a mission rooted in empowerment and community connection, the organization works to reduce inequality and strengthen neighborhood resilience. Their partnerships with other local nonprofits help expand their impact across the region.",2025-02-20,,"{""lat"":42.3647,""lng"":-71.0991}",https://margaretfullerhouse.org/wp-content/uploads/2024/12/MFH_Logo_12-12-24_x2.webp,,active,50
6,2026-03-04 14:44:46.849+00,Middlesex Human Service Agency (MHSA),"MHSA provides housing, shelter, food assistance, and supportive services to individuals and families experiencing homelessness or economic insecurity. Their programs aim to promote long-term stability through case management, recovery support, and basic-needs distribution. Families with infants or toddlers receive essential care items�including diapers�to help ease the financial strain of raising young children. MHSA�s work is grounded in dignity, compassion, and evidence-based support practices. As a key regional service provider, they collaborate with many community organizations to address the root causes of poverty.",2020-04-21,,"{""lat"":42.3938,""lng"":-71.0724}",https://mhsainc.org/wp-content/uploads/2022/11/mhsa_logo.png,,active,75
7,2026-03-04 14:44:46.849+00,People Helping People- Burlington Food Pantry,"People Helping People is a Burlington-based nonprofit dedicated to reducing hunger and supporting local families in crisis. Their food pantry distributes nutritious groceries, household supplies, and infant essentials such as diapers. The organization also operates seasonal programs, including holiday meals and back-to-school support. Volunteers play a central role in ensuring that services run efficiently and compassionately. People Helping People fosters a strong sense of community and ensures that every resident has access to fundamental resources.",2022-01-01,,"{""lat"":42.5063,""lng"":-71.2041}",https://chambermaster.blob.core.windows.net/images/members/2282/1904/MemLogo_PHP%20Logo.png,,active,80
8,2026-03-04 14:44:46.849+00,Project SOUP - Somerville Homeless Coalition,"Project SOUP (""Share Our United Pantry"") is a long-standing Somerville food-access program offering free groceries through its pantry and home-delivery services. As part of the Somerville Homeless Coalition, Project SOUP addresses homelessness, hunger, and economic instability. The program serves individuals and families of all ages, providing both food and essential items like diapers. Their community-driven model emphasizes dignity, choice, and reducing barriers to support. Project SOUP remains a vital resource for residents facing hardship.",2025-03-19,,"{""lat"":42.3876,""lng"":-71.0783}",https://somervillehomelesscoalition.org/wp-content/uploads/2025/02/SHC-Logo-Full-Colour.png,,active,60
9,2026-03-04 14:44:46.849+00,REACH Beyond Domestic Violence,"REACH Beyond Domestic Violence provides critical services to individuals and families impacted by domestic abuse, including shelter, advocacy, and long-term support. Many survivors arrive with limited belongings, and REACH supplies essentials such as diapers, clothing, and hygiene products to help stabilize families. Their trauma-informed approach prioritizes safety, empowerment, and respect. REACH also engages in community education to prevent future violence. Their partnership work allows them to connect clients with broader regional resources for continued support.",2019-01-01,,"{""lat"":42.3734,""lng"":-71.2457}",https://reachma.org/wp-content/themes/reachmagit/img/logo.svg,,active,15
10,2026-03-04 14:44:46.849+00,Tufts Wakefield/Melrose,"Tufts Wakefield/Melrose operates community clinics and health services that support families across the region. Their programs assist caregivers navigating medical, financial, and social challenges. In partnership with regional nonprofits, the clinics distribute diapers and child-care essentials to families encountering hardship. Staff members are trained to identify unmet household needs and connect families to supportive services. This integrated model ensures that medical care and basic-needs assistance work hand-in-hand.",2025-05-21,,"{""lat"":42.5011,""lng"":-71.0659}",https://www.tuftsmedicine.org/modules/custom/tufts_icons/assets/core/Tufts-Medicine-T.svg,,active,100
