partner_name,partner_id,year,month,num_diapers
WeeCare,12,2025,January,1448
WeeCare,12,2025,February,1116
WeeCare,12,2025,March,1952
WeeCare,12,2025,April,1269
WeeCare,12,2025,May,1727
WeeCare,12,2025,June,1564
WeeCare,12,2025,August,3691
WeeCare,12,2025,September,875
WeeCare,12,2025,October,1602
WeeCare,12,2025,November,1081
WeeCare,12,2025,December,818
Middlesex Human Service Agency (MHSA),6,2025,January,1000
Middlesex Human Service Agency (MHSA),6,2025,February,6433
Middlesex Human Service Agency (MHSA),6,2025,March,6481
Middlesex Human Service Agency (MHSA),6,2025,April,6308
Middlesex Human Service Agency (MHSA),6,2025,May,4503
Middlesex Human Service Agency (MHSA),6,2025,June,7066
Middlesex Human Service Agency (MHSA),6,2025,July,4436
Middlesex Human Service Agency (MHSA),6,2025,August,4705
Middlesex Human Service Agency (MHSA),6,2025,September,4407
Middlesex Human Service Agency (MHSA),6,2025,October,400
Middlesex Human Service Agency (MHSA),6,2025,November,10698
Middlesex Human Service Agency (MHSA),6,2025,December,4404
Family ACCESS,3,2025,January,3514
Family ACCESS,3,2025,February,5356
Family ACCESS,3,2025,March,3046
Family ACCESS,3,2025,April,3249
Family ACCESS,3,2025,May,4970
Family ACCESS,3,2025,June,4402
Family ACCESS,3,2025,July,800
Family ACCESS,3,2025,August,5765
Family ACCESS,3,2025,September,5629
Family ACCESS,3,2025,October,3088
Family ACCESS,3,2025,November,5651
Family ACCESS,3,2025,December,4884
Diaper Depot,2,2025,February,4300
Diaper Depot,2,2025,April,6000
Diaper Depot,2,2025,June,5284
Diaper Depot,2,2025,September,6245
Diaper Depot,2,2025,November,7809
REACH Beyond Domestic Violence,9,2025,January,200
REACH Beyond Domestic Violence,9,2025,February,575
REACH Beyond Domestic Violence,9,2025,April,800
REACH Beyond Domestic Violence,9,2025,June,799
REACH Beyond Domestic Violence,9,2025,August,1464
REACH Beyond Domestic Violence,9,2025,September,1595
REACH Beyond Domestic Violence,9,2025,October,1073
REACH Beyond Domestic Violence,9,2025,November,764
REACH Beyond Domestic Violence,9,2025,December,1930
Lexington Food Pantry,4,2025,January,3206
Lexington Food Pantry,4,2025,February,3632
Lexington Food Pantry,4,2025,March,2720
Lexington Food Pantry,4,2025,April,5120
Lexington Food Pantry,4,2025,May,2687
Lexington Food Pantry,4,2025,June,2238
Lexington Food Pantry,4,2025,July,2871
Lexington Food Pantry,4,2025,August,2641
Lexington Food Pantry,4,2025,September,3388
Lexington Food Pantry,4,2025,October,2917
Lexington Food Pantry,4,2025,November,3780
Lexington Food Pantry,4,2025,December,4142
People Helping People- Burlington Food Pantry,7,2025,January,3361
People Helping People- Burlington Food Pantry,7,2025,February,3966
People Helping People- Burlington Food Pantry,7,2025,March,4358
People Helping People- Burlington Food Pantry,7,2025,April,3222
People Helping People- Burlington Food Pantry,7,2025,May,3336
People Helping People- Burlington Food Pantry,7,2025,June,3145
People Helping People- Burlington Food Pantry,7,2025,July,2808
People Helping People- Burlington Food Pantry,7,2025,August,4038
People Helping People- Burlington Food Pantry,7,2025,September,4269
People Helping People- Burlington Food Pantry,7,2025,October,3334
People Helping People- Burlington Food Pantry,7,2025,November,4744
People Helping People- Burlington Food Pantry,7,2025,December,4380
Arlington EATS,1,2025,February,5776
Arlington EATS,1,2025,March,5524
Arlington EATS,1,2025,April,4157
Arlington EATS,1,2025,May,4437
Arlington EATS,1,2025,June,5207
Arlington EATS,1,2025,July,4637
Arlington EATS,1,2025,August,6834
Arlington EATS,1,2025,September,7447
Arlington EATS,1,2025,October,7198
Arlington EATS,1,2025,November,8827
Arlington EATS,1,2025,December,6696
Woburn Council of Social Concern,13,2025,January,1430
Woburn Council of Social Concern,13,2025,May,331
Woburn Council of Social Concern,13,2025,June,1505
Woburn Council of Social Concern,13,2025,August,1505
Woburn Council of Social Concern,13,2025,October,810
Watertown Food Pantry,11,2025,January,2212
Watertown Food Pantry,11,2025,February,1366
Watertown Food Pantry,11,2025,May,2001
Watertown Food Pantry,11,2025,June,1500
Watertown Food Pantry,11,2025,July,1084
Watertown Food Pantry,11,2025,August,1395
Margaret Fuller Neighborhood House,5,2025,February,3966
Margaret Fuller Neighborhood House,5,2025,March,2953
Margaret Fuller Neighborhood House,5,2025,May,1729
Margaret Fuller Neighborhood House,5,2025,June,1679
Margaret Fuller Neighborhood House,5,2025,July,2213
Margaret Fuller Neighborhood House,5,2025,August,2896
Margaret Fuller Neighborhood House,5,2025,September,3522
Margaret Fuller Neighborhood House,5,2025,October,3826
Margaret Fuller Neighborhood House,5,2025,November,4016
Margaret Fuller Neighborhood House,5,2025,December,3838
Project SOUP - Somerville Homeless Coalition,8,2025,March,1616
Project SOUP - Somerville Homeless Coalition,8,2025,April,3899
Project SOUP - Somerville Homeless Coalition,8,2025,May,3400
Project SOUP - Somerville Homeless Coalition,8,2025,June,3781
Project SOUP - Somerville Homeless Coalition,8,2025,July,2616
Project SOUP - Somerville Homeless Coalition,8,2025,August,600
Project SOUP - Somerville Homeless Coalition,8,2025,September,2811
Project SOUP - Somerville Homeless Coalition,8,2025,October,1989
Project SOUP - Somerville Homeless Coalition,8,2025,November,2266
Project SOUP - Somerville Homeless Coalition,8,2025,December,2327
Tufts Medicine – MelroseWakefield Hospital,10,2025,May,1300
Tufts Medicine – MelroseWakefield Hospital,10,2025,July,1520
Tufts Medicine – MelroseWakefield Hospital,10,2025,August,1508
Tufts Medicine – MelroseWakefield Hospital,10,2025,September,1495
Tufts Medicine – MelroseWakefield Hospital,10,2025,October,1497
Tufts Medicine – MelroseWakefield Hospital,10,2025,November,2003
Tufts Medicine – MelroseWakefield Hospital,10,2025,December,2016
Family ACCESS,3,2026,January,4043
Diaper Depot,2,2026,January,6322
REACH Beyond Domestic Violence,9,2026,January,1989
Lexington Food Pantry,4,2026,January,4121
People Helping People- Burlington Food Pantry,7,2026,January,3806
Arlington EATS,1,2026,January,7599
Woburn Council of Social Concern,13,2026,January,801
Margaret Fuller Neighborhood House,5,2026,January,4494
Project SOUP - Somerville Homeless Coalition,8,2026,January,1476
Tufts Medicine – MelroseWakefield Hospital,10,2026,January,1886
