partner_id,name,city,city_id,percentage
1,Arlington EATS,Arlington,14,1
2,Diaper Depot,Waltham,13,1
3,Family ACCESS,Arlington,14,0.01
3,Family ACCESS,Burlington,24,0.01
3,Family ACCESS,Lexington,4,0.01
3,Family ACCESS,Newton,11,0.25
3,Family ACCESS,Waltham,13,0.7
3,Family ACCESS,Wayland,25,0
3,Family ACCESS,Wellesley,26,0.01
3,Family ACCESS,Woburn,18,0.01
4,Lexington Food Pantry,Lexington,4,0.99
4,Lexington Food Pantry,Woburn,18,0.01
5,Margaret Fuller Neighborhood House,Boston,1,0.23
5,Margaret Fuller Neighborhood House,Cambridge,3,0.55
5,Margaret Fuller Neighborhood House,Dorchester,27,0.03
5,Margaret Fuller Neighborhood House,Malden,10,0.03
5,Margaret Fuller Neighborhood House,Somerville,2,0.05
5,Margaret Fuller Neighborhood House,Quincy,5,0.02
5,Margaret Fuller Neighborhood House,Revere,15,0.02
5,Margaret Fuller Neighborhood House,Allston,28,0.01
5,Margaret Fuller Neighborhood House,Brighton,29,0.02
5,Margaret Fuller Neighborhood House,Mattapan,30,0.02
5,Margaret Fuller Neighborhood House,Charlestown,31,0.02
6,Middlesex Human Service Agency (MHSA),Dorchester,27,0.03
6,Middlesex Human Service Agency (MHSA),Mattapan,30,0.02
6,Middlesex Human Service Agency (MHSA),Waltham,13,0.95
7,People Helping People- Burlington Food Pantry,Burlington,24,1
8,Project SOUP - Somerville Homeless Coalition,Somerville,2,1
9,REACH Beyond Domestic Violence,Waltham,13,1
10,Tufts Medicine – MelroseWakefield Hospital,Medford,6,0.23
10,Tufts Medicine – MelroseWakefield Hospital,Melrose,17,0.22
10,Tufts Medicine – MelroseWakefield Hospital,Malden,10,0.14
10,Tufts Medicine – MelroseWakefield Hospital,Reading,32,0.05
10,Tufts Medicine – MelroseWakefield Hospital,Wakefield,33,0.07
10,Tufts Medicine – MelroseWakefield Hospital,Winchester,21,0.05
10,Tufts Medicine – MelroseWakefield Hospital,Woburn,18,0.04
10,Tufts Medicine – MelroseWakefield Hospital,Everett,8,0.05
10,Tufts Medicine – MelroseWakefield Hospital,Saugus,34,0.03
10,Tufts Medicine – MelroseWakefield Hospital,Stoneham,35,0.05
10,Tufts Medicine – MelroseWakefield Hospital,Revere,15,0.05
10,Tufts Medicine – MelroseWakefield Hospital,Winthrop,19,0.02
11,Watertown Food Pantry,Belmont,16,0.1
11,Watertown Food Pantry,Cambridge,3,0.15
11,Watertown Food Pantry,Newton,11,0.05
11,Watertown Food Pantry,Waltham,13,0.15
11,Watertown Food Pantry,Watertown,12,0.45
11,Watertown Food Pantry,Brighton,29,0.03
11,Watertown Food Pantry,Arlington,14,0.04
11,Watertown Food Pantry,Needham,20,0.01
11,Watertown Food Pantry,Allston,28,0.02
12,WeeCare,Burlington,24,0.31
12,WeeCare,Billerica,37,0.27
12,WeeCare,Acton,36,0.05
12,WeeCare,Woburn,18,0.05
12,WeeCare,Stoneham,35,0.09
12,WeeCare,Winthrop,19,0.09
12,WeeCare,Arlington,14,0.14
13,Woburn Council of Social Concern,Winchester,21,0.2
13,Woburn Council of Social Concern,Woburn,18,0.8
14,Riverside Early Head Start (Riverside Community Care) ,Somerville,2,
15,United South End Settlement,Boston,1,
16,Kataluma Refugee Hospitality,Boston,1,
17,The Gandara Center,Boston,1,
18,BHN Family Resource Center,Hyde Park,39,
19,AllWays Health Partners,Somerville,2,
20,Baycove,Boston,1,
21,Conley Elementary School,Boston,1,
22,Pleasant Street Seventh Day Adventist,Worcester,40,
23,Cambridge Health Alliance (CHSA),Revere,15,
24,"Waltham Creative Start, Head Start",Waltham,13,
25,Healthy Waltham,Waltham,13,
26,EDEN,Roslindale,41,
27,Whittier Street Health Center,Roxbury,42,
28,"BAMSI (Brockton Area Multi-Services, Inc.) ",Brockton,43,
29,Boston Children's Hospital,Boston,1,
30,Foxboro Public Safety,Foxboro,44,
31,Charity Guild,Brockton,43,
32,Children's Services of Roxbury For Holiday Inn and Norwood Site,Roxbury,42,
33,Lowell Alliance,Lowell,45,
34,Saheli Boston,Burlington,24,
35,Boston Medical Center – Refugee Women's Health Clinic,Boston,1,
36,Old Colony YMCA,Brockton,43,
37,Society of St. Vincent de Paul – Archdiocese of Boston,Norwood,46,
38,Zion Early Learning Center,Dorchester,27,
39,Project R.I.G.H.T Inc.,Dorchester,27,
40,LifeScene,Lynn,47,
41,Mary Ann Brett Food Pantry,Dorchester,27,
42,Natick Service Council,Natick,48,
43,Boston Children's Hospital- Primary Care,Weymouth,49,
44,FamilyAid,Newton,11,
45,YWCA Cambridge – Transition House Shelter,Cambridge,3,
46,Children’s Services of Roxbury – Holiday Inn / Norwood Family Shelter,Roxbury,42,
47,RISE ,West Springfield,50,
48,Medford Family Network,Medford,6,
49,ABCD Boston,Boston,1,
50,YMCA Boston,Boston,1,
51,North Shore Community College ,Danvers,51,
52,Heartbeat Pregnancy Help Center,Burlington,24,
53,Mamas Unidas,Salem,52,
54,Eliot Early Intervention Program (Malden/Medford/Everett),Malden,10,
55,Tufts Medical Center – General Pediatrics,Boston,1,
56,Keeping Pace with Multiple Miracles,West Bridgewater,53,
57,Legal Service Center of Harvard Law School,Jamaica Plain,54,
58,InnerCity Weightlifting,Dorchester,27,
59,Postpartum Support Services – MAPC North Suffolk Public Health Collaborative,Chelsea,9,
60,Franklin Hill Tenant Association,Dorchester,27,
61,East Boston Community Soup Kitchen (EBCSK),Boston,1,
62,Dewitt Center-Madison Park Development Corporation,Roxbury,42,
63,North Reading Food Pantry,North Reading,55,
