partner_id,city_id,percentage,,,,,,,,,
1,14,100,,,,,Arlington,,,,
2,13,100,,,,,Waltham,,,,
3,,,,,,,Arlington,,,,
,,,,,,,Burlington,,,,
,,,,,,,Lexington,,,,
,,,,,,,Newton,,,,
,,,,,,,Waltham,,,,
,,,,,,,Wayland,,,,
,,,,,,,Wellesley,,Arlington,,0
,,,,,,,Woburn,,Waltham,,
,,,,,,,Lexington,,Burlington,,
,,,,,,,Woburn,,Lexington,,
,,,,,,,Boston,,Newton,,
,,,,,,,Cambridge,,Wayland,,
,,,,,,,Dorchester,,Wellesley,,
,,,,,,,Malden,,Woburn,,
,,,,,,,Somerville,,Boston,,
,,,,,,,Quincy,,Cambridge,,
,,,,,,,Dorchester,,Dorchester,,
,,,,,,,Mattapan,,Malden,,
,,,,,,,Waltham,,Somerville,,
,,,,,,,Burlington,,Quincy,,
,,,,,,,Somerville,,Mattapan,,
,,,,,,,Waltham,,Medford,,
,,,,,,,Medford,,Melrose,,
,,,,,,,Melrose,,Reading,,
,,,,,,,Reading,,Wakefield,,
,,,,,,,Wakefield,,Winchester,,
,,,,,,,Winchester,,Everett,,
,,,,,,,Woburn,,Saugus,,
,,,,,,,Malden,,Stoneham,,
,,,,,,,Everett,,Revere,,
,,,,,,,Saugus,,Winthrop,,
,,,,,,,Stoneham,,Belmont,,
,,,,,,,Revere,,Watertown,,
,,,,,,,Winthrop,,Brighton,,
,,,,,,,Belmont,,Needham,,
,,,,,,,Cambridge,,Allston,,
,,,,,,,Newton,,Billerica,,
,,,,,,,Waltham,,Acton,,
,,,,,,,Watertown,,Wintrhop,,
,,,,,,,Brighton,,,,
,,,,,,,Arlington,,,,
,,,,,,,Needham,,,,
,,,,,,,Allston,,,,
,,,,,,,Burlington,,,,
,,,,,,,Billerica,,,,
,,,,,,,Acton,,,,
,,,,,,,Woburn,,,,
,,,,,,,Stoneham,,,,
,,,,,,,Wintrhop,,,,
,,,,,,,Arlington,,,,
,,,,,,,Winchester,,,,
,,,,,,,Woburn,,,,
